movie_title,cast_1_score,cast_2_score,cast_3_score,cast_score
The Hangover 3,340,189,93,622
A Wrinkle in Time,0,0,0,0
Public Enemies,145,265,0,410
Casino Royale,0,84,0,84
Minority Report,287,0,0,287
Bumblebee,51,0,0,51
Cloud Atlas,93,48,29,170
Harry Potter and the Chamber of Secrets,100,100,100,300
Planet of the Apes,86,0,0,86
National Treasure,103,0,0,103
Django Unchained,122,126,196,444
1917,0,0,0,0
Little Fockers,207,0,85,292
American Gangster,259,54,0,313
Cloudy with a Chance of Meatballs,97,0,0,97
The Other Guys,129,173,0,302
Lemony Snicket's A Series of Unfortunate Events,113,207,53,373
The Wolf of Wall Street,281,98,0,379
Epic,198,78,0,276
The Emperor's New Groove,0,0,0,0
The Expendables 2,73,0,73,146
Where the Wild Things Are,0,0,66,66
Eragon,0,0,0,0
Hercules,365,107,98,570
The Tourist,251,46,15,312
Spies in Disguise,0,0,0,0
The Stepford Wives,285,0,0,285
Surf’s Up,0,0,16,16
Blood Diamond,78,0,4,82
Midway,0,167,275,442
Legend of the Guardians: The Owls of Ga'Hoole,55,0,0,55
Land of the Lost,181,38,0,219
Peter Pan,0,0,0,0
Wonder Park,0,0,0,0
Catwoman,157,0,0,157
The Expendables 3,111,99,94,304
Treasure Planet,0,0,0,0
Green Zone,229,0,0,229
Geostorm,92,0,0,92
Point Break,0,0,0,0
Cats,0,154,0,154
In the Heart of the Sea,308,0,0,308
Transcendence,237,0,276,513
Son of the Mask,0,0,0,0
Mortal Engines,0,0,0,0
The Adventures of Pluto Nash,269,0,0,269
Jin líng shí san chai,203,0,0,203
The Peanuts Movie,0,0,0,0
The LEGO Movie 2: The Second Part,406,0,66,472
The Mummy Returns,161,95,0,256
Ford v. Ferrari,156,0,0,156
Gangs of New York,17,154,0,171
Alien: Covenant,247,93,0,340
Cinderella,0,33,0,33
Ice Age: Continental Drift,0,0,0,0
Black Hawk Down,34,100,99,233
Sex and the City 2,119,90,153,362
Percy Jackson & the Olympians: The Lightning Thief,0,0,89,89
The Campaign,159,249,94,502
Unstoppable,142,88,0,230
The Road to El Dorado,0,0,0,0
The Lovely Bones,8,140,0,148
Ben-Hur,0,0,75,75
Seventh Son,0,46,13,59
Finding Nemo,0,0,0,0
The Lord of the Rings: The Return of the King,199,199,291,689
The Lord of the Rings: The Two Towers,99,191,99,389
Lara Croft: Tomb Raider,198,43,0,241
Kingsman: The Secret Service,0,0,194,194
The Lord of the Rings: The Fellowship of the Ring,34,92,0,126
Jurassic Park III,0,27,68,95
Rise of the Planet of the Apes,44,15,87,146
The Spiderwick Chronicles,106,0,13,119
The Incredibles,0,122,0,122
A Good Day to Die Hard,124,0,0,124
The Alamo,49,80,0,129
The Secret Life of Walter Mitty,134,81,0,215
Jumanji: Welcome to the Jungle,211,0,185,396
Rush Hour 2,159,87,0,246
Sherlock Holmes,194,82,0,276
Ice Age: Dawn of the Dinosaurs,0,0,0,0
Spider-Man: Into The Spider-Verse 3D,0,0,51,51
What Lies Beneath,0,0,0,0
Rio,110,227,66,403
Once Upon a Time…in Hollywood,0,29,168,197
The Departed,78,258,170,506
Charlie's Angels,0,0,0,0
Tropic Thunder,149,123,36,308
The Girl with the Dragon Tattoo,99,0,14,113
You Don't Mess With the Zohan,236,0,0,236
The Magnificent Seven,102,197,22,321
Alvin and the Chipmunks: The Road Chip,0,0,0,0
Atlantis: The Lost Empire,0,0,0,0
Valkyrie,201,100,0,301
Pixels,108,76,0,184
Artificial Intelligence: AI,131,71,0,202
The Haunted Mansion,230,0,0,230
Hollow Man,0,0,0,0
The Interpreter,166,66,0,232
Percy Jackson: Sea of Monsters,111,0,19,130
Lara Croft: Tomb Raider: The Cradle of Life,171,5,0,176
Now You See Me 2,79,194,115,388
Spy Game,79,153,0,232
Mission to Mars,0,0,0,0
Tomb Raider,116,0,51,167
King Arthur,0,0,227,227
K-19: The Widowmaker,139,0,0,139
Conan the Barbarian,0,57,0,57
The Three Musketeers,68,0,0,68
The Promise,0,19,115,134
The Nutcracker in 3D,0,0,0,0
Cinderella Man,82,246,0,328
The Predator,0,0,72,72
Fantastic Four,76,0,17,93
Hannibal,114,75,74,263
Seabiscuit,98,0,0,98
Cast Away,0,0,0,0
Happy Feet,0,0,178,178
Ocean's Eleven,337,153,349,839
The Bourne Supremacy,203,82,0,285
Fast & Furious,19,54,0,73
Horton Hears a Who,111,206,0,317
Divergent,0,0,42,42
Hotel Transylvania,222,210,0,432
Shazam!,0,78,0,78
Enchanted,0,57,0,57
Safe House,171,169,0,340
I Now Pronounce You Chuck and Larry,251,0,29,280
Ocean's Thirteen,134,339,362,835
It’s Complicated,203,70,0,273
Open Season,91,91,0,182
Tower Heist,3,234,0,237
102 Dalmatians,0,0,0,0
Mirror Mirror,0,161,0,161
The Holiday,84,116,136,336
The Fast and the Furious: Tokyo Drift,18,0,0,18
Memoirs of a Geisha,0,95,0,95
Enemy at the Gates,71,0,91,162
The Rundown,71,194,0,265
Arthur Christmas,86,0,32,118
xXx: Return of Xander Cage,142,151,0,293
Cats & Dogs: The Revenge of Kitty Galore,0,0,0,0
Collateral Damage,142,0,0,142
Showtime,329,269,81,679
Zodiac,124,0,85,209
Scott Pilgrim vs. The World,79,0,0,79
The Core,0,0,4,4
The Greatest Showman,176,1,112,289
Scooby-Doo,42,49,55,146
Nutty Professor II: The Klumps,0,0,0,0
RED 2,124,62,62,248
Click,247,123,41,411
Charlotte\'s Web,121,207,0,328
Jumper,99,94,0,193
Hellboy II: The Golden Army,0,0,0,0
The Longest Yard,241,0,40,281
The Expendables,45,80,139,264
The 6th Day,0,0,0,0
Bruce Almighty,185,0,177,362
The Hunger Games,83,0,0,83
The Hangover Part II,281,156,91,528
The Lego Batman Movie,66,0,0,66
Hotel Transylvania 2,108,0,0,108
The Secret Life of Pets 2,0,222,65,287
Over the Hedge,140,0,112,252
Lilo & Stitch,0,0,0,0
Grown Ups 2,199,154,97,450
Alvin and the Chipmunks: Chipwrecked,64,0,0,64
Get Smart,206,89,43,338
Robots,153,191,0,344
Shutter Island,77,0,36,113
Something's Gotta Give,64,29,116,209
Four Christmases,127,218,0,345
Bedtime Stories,236,0,0,236
Road to Perdition,186,0,0,186
Just Go With It,233,190,0,423
Daredevil,256,0,2,258
Eagle Eye,147,53,71,271
Yogi Bear,0,0,21,21
Cold Mountain,135,213,175,523
The Book of Eli,142,0,0,142
Fury,130,99,103,332
Smallfoot,179,0,175,354
The Pink Panther,228,0,0,228
Zookeeper,139,0,0,139
The Day the Earth Stood Still,136,79,0,215
Spirit: Stallion of the Cimarron,231,0,0,231
Swordfish,153,92,0,245
The Manchurian Candidate,134,0,53,187
Déjà Vu,117,0,0,117
Bewitched,166,158,0,324
The Good Shepherd,258,258,94,610
The Time Machine,21,0,35,56
Ad Astra,29,34,0,63
The Legend of Zorro,185,235,0,420
Little Nicky,0,0,0,0
Surrogates,114,0,0,114
Evolution,80,28,75,183
The Brothers Grimm,285,0,38,323
The Wild,0,0,0,0
Walking with Dinosaurs,0,0,0,0
Thirteen Days,0,0,0,0
The Last Witch Hunter,120,0,0,120
Pompeii,0,25,0,25
Battlefield Earth: A Saga of the Year 3000,0,0,0,0
Looney Tunes: Back in Action,149,22,0,171
Nine,27,40,39,106
Timeline,82,5,0,87
Oceans,96,0,0,96
Red Planet,0,0,0,0
Arthur et les Minimoys,93,0,0,93
The Invasion,177,97,0,274
A Sound of Thunder,0,0,0,0
The Aeronauts,160,184,0,344
Journey 2: The Mysterious Island,0,181,0,181
Jack and Jill,233,0,27,260
A Beautiful Mind,183,0,0,183
Cloudy with a Chance of Meatballs 2,0,0,0,0
Red Dragon,118,153,0,271
Hidalgo,299,0,0,299
The League of Extraordinary Gentlemen,50,0,0,50
Exorcist: The Beginning,0,0,0,0
Astérix et Obélix: Au service de Sa Majesté,0,0,0,0
The Little Prince,46,0,81,127
Renegades,0,75,0,75
The Equalizer 2,45,74,0,119
Despicable Me 2,129,81,0,210
2 Fast 2 Furious,82,0,0,82
Children of Men,56,217,0,273
The Adventures of Rocky & Bullwinkle,0,0,0,0
The Secret Life of Pets,0,0,92,92
Dr. Seuss’ The Grinch,115,0,0,115
Sing,91,0,15,106
Despicable Me 3,71,62,0,133
Ice Age: The Meltdown,0,1,0,1
Madagascar,40,302,0,342
Grown Ups,232,0,138,370
Shark Tale,242,166,247,655
X-Men,0,0,0,0
Wanted,94,55,77,226
50 First Dates,153,91,52,296
Mamma Mia: Here We Go Again!,149,0,49,198
Hairspray,105,24,0,129
Now You See Me,79,0,100,179
