title_x,tomatometer_score,audience_score_rt,original_language,MPA_Ratings,release_date_x,budget_x,domestic_gross_x,worldwide_gross_x,release_date,budget,domestic_gross,worldwide_gross,title,imdb_rating,cast_1,cast_2,cast_3,movie_url,imdb_id,director
The Collection,38.0,49.0,English,R,2012-11-29,10000000,6810754,8890094,2012-11-29,10000000,6810754,8890094,The Collection,6.1,Josh Stewart,Emma Fitzpatrick,Christopher McDonald,https://www.imdb.com/title/tt1748227/,tt1748227,Marcus Dunstan
Dog Days,62.0,75.0,English,PG,2018-08-08,10000000,6809080,8196226,2018-08-08,10000000,6809080,8196226,Dog Days,6.2,Nina Dobrev,Vanessa Hudgens,Adam Pally,https://www.imdb.com/title/tt7365604/,tt7365604,Ken Marino
A.X.L.,26.0,59.0,English,PG,2018-08-16,10000000,6501381,8259753,2018-08-16,10000000,6501381,8259753,A.X.L.,5.3,Alex Neustaedter,Becky G,Alex MacNicoll,https://www.imdb.com/title/tt5709188/,tt5709188,Oliver Daly
Teacher's Pet: The Movie,33.0,28.0,English,R,2004-01-16,10000000,6491969,6491969,2004-01-16,10000000,6491969,6491969,Teacher's Pet: The Movie,5.8,Nathan Lane,Shaun Fleming,David Ogden Stiers,https://www.imdb.com/title/tt0350194/,tt0350194,Timothy Björklund
Deuces Wild,3.0,51.0,English,R,2002-05-03,10000000,6044618,6244618,2002-05-03,10000000,6044618,6244618,Deuces Wild,5.6,Stephen Dorff,Brad Renfro,Fairuza Balk,https://www.imdb.com/title/tt0231448/,tt0231448,Scott Kalvert
"Run, Fatboy, Run",46.0,64.0,English,PG-13,2008-03-28,10000000,6003262,33512260,2008-03-28,10000000,6003262,33512260,"Run, Fatboy, Run",6.6,Simon Pegg,Thandiwe Newton,Hank Azaria,https://www.imdb.com/title/tt0425413/,tt0425413,David Schwimmer
Danny Collins,78.0,73.0,English,R,2015-03-20,10000000,5637066,8465845,2015-03-20,10000000,5637066,8465845,Danny Collins,7.0,Al Pacino,Annette Bening,Jennifer Garner,https://www.imdb.com/title/tt1772288/,tt1772288,Dan Fogelman
Rescue Dawn,90.0,75.0,English,PG-13,2007-07-04,10000000,5490423,7037886,2007-07-04,10000000,5490423,7037886,Rescue Dawn,7.3,Christian Bale,Steve Zahn,Jeremy Davies,https://www.imdb.com/title/tt0462504/,tt0462504,Werner Herzog
Stan & Ollie,92.0,83.0,English,PG,2018-12-28,10000000,5470235,29062674,2018-12-28,10000000,5470235,29062674,Stan & Ollie,7.2,Steve Coogan,John C. Reilly,Shirley Henderson,https://www.imdb.com/title/tt3385524/,tt3385524,Jon S. Baird
Black and White,38.0,30.0,John Winter,R,2000-04-05,10000000,5241315,5241315,2000-04-05,10000000,5241315,5241315,Black and White,4.9,Ben Stiller,Allan Houston,Claudia Schiffer,https://www.imdb.com/title/tt0165643/,tt0165643,James Toback
Io sono l’amore,81.0,68.0,Italian,R,2010-06-18,10000000,5005465,15121528,2010-06-18,10000000,5005465,15121528,Io sono l’amore,7.0,Tilda Swinton,Flavio Parenti,Edoardo Gabbriellini,https://www.imdb.com/title/tt1226236/,tt1226236,Luca Guadagnino
Jay and Silent Bob Reboot,67.0,93.0,English,R,2019-10-18,10000000,4589490,4710507,2019-10-18,10000000,4589490,4710507,Jay and Silent Bob Reboot,5.6,Joey Lauren Adams,Ben Affleck,Fred Armisen,https://www.imdb.com/title/tt6521876/,tt6521876,Kevin Smith
Brian Banks,63.0,97.0,English,PG-13,2019-08-09,10000000,4376820,4376820,2019-08-09,10000000,4376820,4376820,Brian Banks,7.2,Aldis Hodge,Greg Kinnear,Sherri Shepherd,https://www.imdb.com/title/tt3920820/,tt3920820,Tom Shadyac
