title,imdb_rating,cast_1,cast_2,cast_3,movie_url,imdb_id,director
Unfinished Business,5.4,Vince Vaughn,Dave Franco,Tom Wilkinson,https://www.imdb.com/title/tt2358925/,tt2358925,Ken Scott
The Walk,7.3,Joseph Gordon-Levitt,Charlotte Le Bon,Guillaume Baillargeon,https://www.imdb.com/title/tt3488710/,tt3488710,Robert Zemeckis
The Fountain,7.2,Hugh Jackman,Rachel Weisz,Sean Patrick Thomas,https://www.imdb.com/title/tt0414993/,tt0414993,Darren Aronofsky
Mandela: Long Walk to Freedom,7.1,Idris Elba,Naomie Harris,Terry Pheto,https://www.imdb.com/title/tt2304771/,tt2304771,Justin Chadwick
Punisher: War Zone,5.9,Ray Stevenson,Dominic West,Julie Benz,https://www.imdb.com/title/tt0450314/,tt0450314,Lexi Alexander
The Order,5.1,Heath Ledger,Mark Addy,Shannyn Sossamon,https://www.imdb.com/title/tt0304711/,tt0304711,
A Good Year,6.9,Russell Crowe,Abbie Cornish,Albert Finney,https://www.imdb.com/title/tt0401445/,tt0401445,Ridley Scott
The Brothers Grimsby,6.2,Sacha Baron Cohen,Mark Strong,Rebel Wilson,https://www.imdb.com/title/tt3381008/,tt3381008,Louis Leterrier
The Snowman,5.1,Michael Fassbender,Rebecca Ferguson,Charlotte Gainsbourg,https://www.imdb.com/title/tt1758810/,tt1758810,Tomas Alfredson
Femme Fatale,6.2,Rebecca Romijn,Antonio Banderas,Peter Coyote,https://www.imdb.com/title/tt0280665/,tt0280665,Brian De Palma
Luther,6.6,Joseph Fiennes,Bruno Ganz,Peter Ustinov,https://www.imdb.com/title/tt0309820/,tt0309820,
Biutiful,7.4,Javier Bardem,Maricel Álvarez,Hanaa Bouchaib,https://www.imdb.com/title/tt1164999/,tt1164999,Alejandro G. Iñárritu
A Hologram for the King,6.1,Tom Hanks,Omar Elba,Sarita Choudhury,https://www.imdb.com/title/tt2980210/,tt2980210,Tom Tykwer
Stolen,5.5,Nicolas Cage,Malin Akerman,Josh Lucas,https://www.imdb.com/title/tt1656186/,tt1656186,Simon West
Trespass,5.3,Nicolas Cage,Nicole Kidman,Cam Gigandet,https://www.imdb.com/title/tt1674784/,tt1674784,Joel Schumacher
Bandidas,5.7,Penélope Cruz,Salma Hayek,Steve Zahn,https://www.imdb.com/title/tt0416496/,tt0416496,Joachim Rønning
The Darkest Hour,4.9,Emile Hirsch,Olivia Thirlby,Max Minghella,https://www.imdb.com/title/tt1093357/,tt1093357,Chris Gorak
Baby Driver,7.6,Ansel Elgort,Jon Bernthal,Jon Hamm,https://www.imdb.com/title/tt3890160/,tt3890160,Edgar Wright
The Maze Runner,6.8,Dylan O'Brien,Kaya Scodelario,Will Poulter,https://www.imdb.com/title/tt1790864/,tt1790864,Wes Ball
The Longest Ride,7.1,Scott Eastwood,Britt Robertson,Alan Alda,https://www.imdb.com/title/tt2726560/,tt2726560,George Tillman Jr.
Gake no ue no Ponyo,7.6,Cate Blanchett,Matt Damon,Liam Neeson,https://www.imdb.com/title/tt0876563/,tt0876563,Hayao Miyazaki
The Darkest Minds,5.7,Amandla Stenberg,Mandy Moore,Bradley Whitford,https://www.imdb.com/title/tt4073790/,tt4073790,Jennifer Yuh Nelson
I Dreamed of Africa,5.5,Kim Basinger,Vincent Perez,Liam Aiken,https://www.imdb.com/title/tt0167203/,tt0167203,Hugh Hudson
Thunder and the House of Magic,6.2,Cinda Adams,George Babbit,Brianne Brozey,https://www.imdb.com/title/tt3148834/,tt3148834,Jeremy Degruson
Big Momma's House,5.2,Martin Lawrence,Nia Long,Paul Giamatti,https://www.imdb.com/title/tt0208003/,tt0208003,Raja Gosnell
Exit Wounds,5.6,Steven Seagal,DMX,Isaiah Washington,https://www.imdb.com/title/tt0242445/,tt0242445,Andrzej Bartkowiak
Mike and Dave Need Wedding Dates,6.0,Zac Efron,Adam Devine,Anna Kendrick,https://www.imdb.com/title/tt2823054/,tt2823054,Jake Szymanski
Step Up Revolution,6.4,Kathryn McCormick,Ryan Guzman,Cleopatra Coleman,https://www.imdb.com/title/tt1800741/,tt1800741,Scott Speer
Snakes on a Plane,5.5,Samuel L. Jackson,Julianna Margulies,Nathan Phillips,https://www.imdb.com/title/tt0417148/,tt0417148,David R. Ellis
The Punisher,6.4,Thomas Jane,John Travolta,Samantha Mathis,https://www.imdb.com/title/tt0330793/,tt0330793,
