rating_check,runtime,genre
6.9,['96'],"['Animation', 'Adventure', 'Comedy', 'Crime', 'Drama', 'Family', 'Sci-Fi']"
5.7,['99'],"['Action', 'Adventure', 'Fantasy']"
6.3,['115'],"['Animation', 'Action', 'Adventure', 'Fantasy']"
6.2,['113'],"['Comedy', 'Fantasy', 'Horror']"
6.3,['131'],"['Action', 'Drama', 'Thriller']"
5.8,['103'],"['Drama', 'Fantasy', 'Horror', 'Thriller']"
5.9,['103'],"['Action', 'Adventure', 'Fantasy', 'Thriller']"
5.7,['111'],"['Adventure', 'Comedy', 'Family', 'Fantasy']"
5.4,['88'],"['Animation', 'Action', 'Adventure', 'Family', 'Sci-Fi']"
6.6,['85'],"['Animation', 'Action', 'Adventure', 'Comedy', 'Drama', 'Family', 'Romance']"
6.8,['95'],"['Animation', 'Adventure', 'Comedy', 'Family']"
7.4,['132'],"['Action', 'Adventure', 'Thriller']"
7.8,['102'],"['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy']"
6.8,['92'],"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'History', 'Sci-Fi']"
7.3,['97'],"['Animation', 'Action', 'Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy']"
6.0,['124'],"['Action', 'Adventure', 'Comedy']"
6.9,['117'],"['Action', 'Comedy', 'Fantasy', 'Sci-Fi']"
6.1,['133'],"['Action', 'Adventure', 'Thriller']"
8.1,['143'],"['Action', 'Adventure', 'Fantasy']"
8.0,['127'],"['Action', 'Adventure', 'Sci-Fi']"
6.1,['88'],"['Action', 'Adventure', 'Comedy', 'Mystery', 'Sci-Fi']"
6.9,['124'],"['Action', 'Adventure', 'Sci-Fi']"
7.1,['95'],"['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy']"
5.8,['110'],"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
7.8,['154'],"['Action', 'Drama']"
6.1,['90'],"['Comedy', 'Crime']"
6.0,['150'],"['Action', 'Adventure', 'Drama', 'Fantasy']"
6.4,['117'],"['Adventure', 'Family', 'Fantasy']"
5.7,['117'],"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
5.4,['127'],"['Action', 'Adventure', 'Fantasy']"
7.4,['121'],"['Action', 'Adventure', 'Sci-Fi']"
7.7,['162'],"['Action', 'Drama', 'Mystery', 'Sci-Fi']"
5.0,['121'],"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
6.7,['112'],"['Action', 'Adventure', 'Sci-Fi']"
5.6,['138'],"['Action', 'Sci-Fi']"
6.4,['106'],"['Animation', 'Action', 'Adventure', 'Fantasy', 'Romance', 'Sci-Fi']"
5.6,['115'],"['Adventure', 'Drama', 'Fantasy', 'Romance']"
7.2,['98'],"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']"
8.0,['156'],"['Action', 'Adventure', 'Drama', 'History', 'Western']"
7.2,['107'],"['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Western']"
7.4,['138'],"['Action', 'Adventure', 'Drama', 'War']"
6.4,['96'],"['Animation', 'Adventure', 'Comedy', 'Family', 'Sport']"
5.9,['112'],"['Action', 'Adventure', 'Comedy', 'Sci-Fi']"
5.9,['117'],"['Animation', 'Adventure', 'Comedy', 'Family', 'Music', 'Musical', 'Romance']"
6.0,['132'],"['Action', 'Adventure', 'Crime', 'Drama', 'Thriller']"
5.5,['99'],"['Adventure', 'Family', 'Fantasy']"
6.5,['116'],"['Action', 'Adventure', 'Sci-Fi']"
6.7,['92'],"['Animation', 'Adventure', 'Comedy', 'Family', 'Sci-Fi']"
7.5,['146'],"['Action', 'Adventure', 'Drama', 'Sci-Fi', 'Thriller']"
7.9,['142'],"['Adventure', 'Family', 'Fantasy', 'Mystery']"
8.0,['115'],"['Action', 'Mystery', 'Thriller']"
7.0,['118'],"['Action', 'Adventure', 'Comedy', 'Sci-Fi']"
7.6,['92'],"['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy']"
7.3,['117'],"['Action', 'Adventure', 'Comedy', 'Sci-Fi']"
6.6,['94'],"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']"
6.7,['130'],"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']"
6.6,['90'],"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']"
7.3,['95'],"['Animation', 'Action', 'Comedy', 'Crime', 'Family', 'Mystery', 'Sci-Fi', 'Thriller']"
6.6,['147'],"['Action', 'Comedy', 'Crime', 'Thriller']"
6.3,['101'],"['Animation', 'Adventure', 'Comedy', 'Family', 'Music', 'Musical']"
6.5,['100'],"['Action', 'Thriller']"
5.8,['138'],"['Action', 'Adventure', 'Drama']"
