title,imdb_rating,cast_1,cast_2,cast_3,movie_url,imdb_id
The City of Your Final Destination,6.3,Omar Metwally,Anthony Hopkins,Charlotte Gainsbourg,https://www.imdb.com/title/tt0896923/,tt0896923
28 Days Later…,7.5,Cillian Murphy,Naomie Harris,Christopher Eccleston,https://www.imdb.com/title/tt0289043/,tt0289043
Begin Again,7.4,Keira Knightley,Mark Ruffalo,Adam Levine,https://www.imdb.com/title/tt1980929/,tt1980929
The Boondock Saints 2: All Saints Day,6.2,Sean Patrick Flanery,Norman Reedus,Billy Connolly,https://www.imdb.com/title/tt1300851/,tt1300851
Held Up,5.1,Jamie Foxx,Nia Long,Barry Corbin,https://www.imdb.com/title/tt0165831/,tt0165831
Anomalisa,7.2,David Thewlis,Jennifer Jason Leigh,Tom Noonan,https://www.imdb.com/title/tt2401878/,tt2401878
Lean on Pete,7.2,Charlie Plummer,Amy Seimetz,Travis Fimmel,https://www.imdb.com/title/tt5340300/,tt5340300
And When Did You Last See Your Father?,6.8,Jim Broadbent,Colin Firth,Juliet Stevenson,https://www.imdb.com/title/tt0829098/,tt0829098
El Chicano,5.4,Logan Arevalo,Julian Bray,Adolfo Alvarez,https://www.imdb.com/title/tt7374952/,tt7374952
The Secret of Kells,7.6,Evan McGuire,Brendan Gleeson,Mick Lally,https://www.imdb.com/title/tt0485601/,tt0485601
Down in the Valley,6.4,Edward Norton,Evan Rachel Wood,David Morse,https://www.imdb.com/title/tt0398027/,tt0398027
Wuthering Heights,6.0,Kaya Scodelario,James Howson,Solomon Glave,https://www.imdb.com/title/tt1181614/,tt1181614
Aloft,5.3,Jennifer Connelly,Cillian Murphy,Mélanie Laurent,https://www.imdb.com/title/tt2494384/,tt2494384
Fireflies in the Garden,6.4,Ryan Reynolds,Willem Dafoe,Emily Watson,https://www.imdb.com/title/tt0961108/,tt0961108
Feichang Xingyun,5.2,Ziyi Zhang,Leehom Wang,Terri Kwan,https://www.imdb.com/title/tt2102502/,tt2102502
Imagine Me & You,6.7,Piper Perabo,Lena Headey,Matthew Goode,https://www.imdb.com/title/tt0421994/,tt0421994
Loin des hommes,7.2,Viggo Mortensen,Reda Kateb,Djemel Barek,https://www.imdb.com/title/tt2936180/,tt2936180
Thank You For Smoking,7.6,Aaron Eckhart,Cameron Bright,Maria Bello,https://www.imdb.com/title/tt0427944/,tt0427944
Code 46,6.1,Tim Robbins,Samantha Morton,Om Puri,https://www.imdb.com/title/tt0345061/,tt0345061
Harry Brown,7.2,Michael Caine,Emily Mortimer,David Bradley,https://www.imdb.com/title/tt1289406/,tt1289406
Die Welle,7.6,Jürgen Vogel,Frederick Lau,Max Riemelt,https://www.imdb.com/title/tt1063669/,tt1063669
